"","title","link","text","collection_date"
"119","Webinar Conference: ""Building back better"" -- 10 September 2020 from 3 p.m. to 5 p.m. (GMT +2)","https://www.cbd.int/doc/c/2d1f/a2be/e28aaa031fc61a50510e68b6/hb-om-2020-01-concept-rev3-en.pdf, https://www.cbd.int/meetings/HB-OM-2020-01, https://www.cbd.int/doc/c/501c/4df1/369d06630c901cd02d4f99c7/sbstta-21-09-en.pdf, https://www.cbd.int/article/Preventing-Zoonotic-Disease-Spread","opening and introductory statement:

h.e. ms. yasmine fouad, minister of environment of egypt, president of cbd cop 14
interventions by cop presidencies:

h.e. mr. huang runqiu, minister of ecology and environment of china, host government of cbd cop 15 (recorded statement)
	representative, presidency of unccd cop 14 (tbc) 
	mr. andrés landerretche, unfccc cop 25 presidency coordinator of chile",2021-04-16
"120","Webinar Conference: ""Building back better"" -- 10 September 2020 from 3 p.m. to 5 p.m. (GMT +2)","https://www.cbd.int/doc/c/2d1f/a2be/e28aaa031fc61a50510e68b6/hb-om-2020-01-concept-rev3-en.pdf, https://www.cbd.int/meetings/HB-OM-2020-01, https://www.cbd.int/doc/c/501c/4df1/369d06630c901cd02d4f99c7/sbstta-21-09-en.pdf, https://www.cbd.int/article/Preventing-Zoonotic-Disease-Spread","ms. patricia espinosa, executive secretary, united nations framework convention on climate change
	ms. elizabeth mrema, executive secretary, convention on biological diversity
	mr. ibrahim thiaw, executive secretary, united nations convention to combat desertification
	ms. martha rojas urrego, secretary general, convention on wetlands on behalf of the liaison group of biodiversity-related conventions
	mr. carlos manuel rodríguez, ceo, global environment facility
q&a and discussion",2021-04-16
"121","Webinar Conference: ""Building back better"" -- 10 September 2020 from 3 p.m. to 5 p.m. (GMT +2)","https://www.cbd.int/doc/c/2d1f/a2be/e28aaa031fc61a50510e68b6/hb-om-2020-01-concept-rev3-en.pdf, https://www.cbd.int/meetings/HB-OM-2020-01, https://www.cbd.int/doc/c/501c/4df1/369d06630c901cd02d4f99c7/sbstta-21-09-en.pdf, https://www.cbd.int/article/Preventing-Zoonotic-Disease-Spread","ms. inger andersen, executive director, united nations environment programme  
	mr. tedros ghebreyesus, director-general, world health organization (recorded statement)
	mr. achim steiner, administrator, united nations development programme
	ms. maria helena semedo, deputy director-general, food and agriculture organization of the united nations
	mr. bruno oberle, director general, international union for conservation of nature (recorded statement)
q&a and general discussion with panelists, including:

ms. maria neira, director, public health, environment and social determinants of health department of the world health organization 
	ms. cyriaque sendashonga, global director for the policy and programme group of the international union for conservation of nature (iucn)",2021-04-16
"122","Webinar Conference: ""Building back better"" -- 10 September 2020 from 3 p.m. to 5 p.m. (GMT +2)","https://www.cbd.int/doc/c/2d1f/a2be/e28aaa031fc61a50510e68b6/hb-om-2020-01-concept-rev3-en.pdf, https://www.cbd.int/meetings/HB-OM-2020-01, https://www.cbd.int/doc/c/501c/4df1/369d06630c901cd02d4f99c7/sbstta-21-09-en.pdf, https://www.cbd.int/article/Preventing-Zoonotic-Disease-Spread","h.e. ms. yasmine fouad, minister of environment of egypt",2021-04-16
"123","United Nations Summit on Biodiversity 2020   --Statements","https://journal.un.org/classic/viewdetails/en/officials/dfd6ab5e-c0de-ea11-9114-0050569e8b67/statements, https://youtu.be/5WoQ0JjMzP8, https://youtu.be/5WoQ0JjMzP8?t=485, https://youtu.be/5WoQ0JjMzP8?t=980, https://youtu.be/5WoQ0JjMzP8?t=1415, https://youtu.be/5WoQ0JjMzP8?t=1945, https://youtu.be/5WoQ0JjMzP8?t=2310, https://youtu.be/5WoQ0JjMzP8?t=2405, https://youtu.be/5WoQ0JjMzP8?t=3550, https://youtu.be/5WoQ0JjMzP8?t=4100, https://youtu.be/5WoQ0JjMzP8?t=4434, https://youtu.be/5WoQ0JjMzP8?t=5065, https://youtu.be/5WoQ0JjMzP8?t=5403, https://youtu.be/5WoQ0JjMzP8?t=5695, https://youtu.be/5WoQ0JjMzP8?t=6078, https://youtu.be/5WoQ0JjMzP8?t=6290, https://youtu.be/5WoQ0JjMzP8?t=6570, https://youtu.be/5WoQ0JjMzP8?t=6825, https://youtu.be/5WoQ0JjMzP8?t=7107, https://youtu.be/5WoQ0JjMzP8?t=7331, https://youtu.be/5WoQ0JjMzP8?t=7680, https://youtu.be/5WoQ0JjMzP8?t=7960, https://youtu.be/5WoQ0JjMzP8?t=8140, https://youtu.be/5WoQ0JjMzP8?t=8325, https://youtu.be/5WoQ0JjMzP8?t=8532, https://youtu.be/5WoQ0JjMzP8?t=8795, https://youtu.be/5WoQ0JjMzP8?t=9022, https://youtu.be/5WoQ0JjMzP8?t=9285, https://youtu.be/5WoQ0JjMzP8?t=9607, https://youtu.be/5WoQ0JjMzP8?t=9792, https://youtu.be/5WoQ0JjMzP8?t=10082, https://youtu.be/5WoQ0JjMzP8?t=10697, https://youtu.be/5WoQ0JjMzP8?t=10915, https://youtu.be/5WoQ0JjMzP8?t=11290, https://youtu.be/5WoQ0JjMzP8?t=11318, https://youtu.be/5WoQ0JjMzP8?t=11625, https://youtu.be/5WoQ0JjMzP8?t=11830, https://youtu.be/5WoQ0JjMzP8?t=12153, https://youtu.be/5WoQ0JjMzP8?t=12395, https://youtu.be/5WoQ0JjMzP8?t=12407, https://youtu.be/5WoQ0JjMzP8?t=12785, https://youtu.be/5WoQ0JjMzP8?t=13174, https://youtu.be/5WoQ0JjMzP8?t=13390, https://youtu.be/5WoQ0JjMzP8?t=13620, https://youtu.be/5WoQ0JjMzP8?t=13837, https://youtu.be/5WoQ0JjMzP8?t=14028, https://youtu.be/5WoQ0JjMzP8?t=14257, https://youtu.be/5WoQ0JjMzP8?t=14450, https://youtu.be/5WoQ0JjMzP8?t=14677, https://youtu.be/5WoQ0JjMzP8?t=14920, https://youtu.be/5WoQ0JjMzP8?t=15170, https://youtu.be/5WoQ0JjMzP8?t=15430, https://youtu.be/5WoQ0JjMzP8?t=15770, https://youtu.be/5WoQ0JjMzP8?t=16037, https://youtu.be/5WoQ0JjMzP8?t=16275, https://youtu.be/5WoQ0JjMzP8?t=16510, https://youtu.be/5WoQ0JjMzP8?t=16725, https://youtu.be/5WoQ0JjMzP8?t=17100, https://youtu.be/5WoQ0JjMzP8?t=17505, https://youtu.be/5WoQ0JjMzP8?t=17750, https://youtu.be/5WoQ0JjMzP8?t=17947, https://youtu.be/5WoQ0JjMzP8?t=18110, https://youtu.be/5WoQ0JjMzP8?t=18274, https://youtu.be/5WoQ0JjMzP8?t=18383, https://youtu.be/5WoQ0JjMzP8?t=18477, https://youtu.be/5WoQ0JjMzP8?t=18880, https://youtu.be/5WoQ0JjMzP8?t=19292, https://youtu.be/5WoQ0JjMzP8?t=19470, https://youtu.be/5WoQ0JjMzP8?t=19730, https://youtu.be/5WoQ0JjMzP8?t=20022, https://youtu.be/5WoQ0JjMzP8?t=20265, https://youtu.be/5WoQ0JjMzP8?t=20520, https://youtu.be/5WoQ0JjMzP8?t=20748, https://youtu.be/5WoQ0JjMzP8?t=21070, https://youtu.be/5WoQ0JjMzP8?t=21310, https://youtu.be/5WoQ0JjMzP8?t=21368, https://youtu.be/5WoQ0JjMzP8?t=21575, https://youtu.be/5WoQ0JjMzP8?t=21745, https://youtu.be/5WoQ0JjMzP8?t=22080, https://youtu.be/5WoQ0JjMzP8?t=22285, https://youtu.be/5WoQ0JjMzP8?t=22460, https://youtu.be/5WoQ0JjMzP8?t=22815, https://youtu.be/5WoQ0JjMzP8?t=23035, https://youtu.be/5WoQ0JjMzP8?t=23230, https://youtu.be/5WoQ0JjMzP8?t=23425, https://youtu.be/5WoQ0JjMzP8?t=23650, https://youtu.be/5WoQ0JjMzP8?t=23921, https://youtu.be/5WoQ0JjMzP8?t=23965, https://youtu.be/5WoQ0JjMzP8?t=24025, https://youtu.be/5WoQ0JjMzP8?t=24290, https://youtu.be/5WoQ0JjMzP8?t=24600, https://youtu.be/5WoQ0JjMzP8?t=24650, https://youtu.be/5WoQ0JjMzP8?t=25000, https://youtu.be/5WoQ0JjMzP8?t=25215, https://youtu.be/5WoQ0JjMzP8?t=25460, https://youtu.be/5WoQ0JjMzP8?t=25770, https://youtu.be/5WoQ0JjMzP8?t=25944, https://youtu.be/5WoQ0JjMzP8?t=26240, https://youtu.be/5WoQ0JjMzP8?t=26430, https://youtu.be/5WoQ0JjMzP8?t=26625, https://youtu.be/5WoQ0JjMzP8?t=26910, https://youtu.be/5WoQ0JjMzP8?t=27137, https://youtu.be/5WoQ0JjMzP8?t=27390, https://youtu.be/5WoQ0JjMzP8?t=27705, https://youtu.be/5WoQ0JjMzP8?t=27925, https://youtu.be/5WoQ0JjMzP8?t=28060, https://youtu.be/5WoQ0JjMzP8?t=28345, https://youtu.be/5WoQ0JjMzP8?t=28561, https://youtu.be/5WoQ0JjMzP8?t=28770, https://youtu.be/5WoQ0JjMzP8?t=28965, https://youtu.be/5WoQ0JjMzP8?t=29197, https://youtu.be/5WoQ0JjMzP8?t=29214, https://youtu.be/5WoQ0JjMzP8?t=29252, https://youtu.be/5WoQ0JjMzP8?t=29531, https://youtu.be/5WoQ0JjMzP8?t=29852, https://youtu.be/5WoQ0JjMzP8?t=30130, https://youtu.be/5WoQ0JjMzP8?t=30440, https://youtu.be/5WoQ0JjMzP8?t=30650, https://youtu.be/5WoQ0JjMzP8?t=30890, https://youtu.be/5WoQ0JjMzP8?t=31102, https://youtu.be/5WoQ0JjMzP8?t=31377, https://youtu.be/5WoQ0JjMzP8?t=31620, https://youtu.be/5WoQ0JjMzP8?t=31952, https://youtu.be/5WoQ0JjMzP8?t=32170, https://youtu.be/5WoQ0JjMzP8?t=32349, https://youtu.be/5WoQ0JjMzP8?t=32625, https://youtu.be/5WoQ0JjMzP8?t=32820, https://youtu.be/5WoQ0JjMzP8?t=33065, https://youtu.be/5WoQ0JjMzP8?t=33327, https://youtu.be/5WoQ0JjMzP8?t=33509, https://youtu.be/5WoQ0JjMzP8?t=33703, https://youtu.be/5WoQ0JjMzP8?t=33874, https://youtu.be/5WoQ0JjMzP8?t=34171, https://youtu.be/5WoQ0JjMzP8?t=34667, https://youtu.be/5WoQ0JjMzP8?t=35018, https://youtu.be/5WoQ0JjMzP8?t=35240, https://youtu.be/5WoQ0JjMzP8?t=35495, https://youtu.be/5WoQ0JjMzP8?t=35699, https://youtu.be/5WoQ0JjMzP8?t=35903, https://youtu.be/5WoQ0JjMzP8?t=36111, https://youtu.be/5WoQ0JjMzP8?t=36390, https://youtu.be/5WoQ0JjMzP8?t=36710, https://youtu.be/5WoQ0JjMzP8?t=36910, https://youtu.be/5WoQ0JjMzP8?t=37147, https://youtu.be/5WoQ0JjMzP8?t=37330, https://youtu.be/5WoQ0JjMzP8?t=37550, https://youtu.be/5WoQ0JjMzP8?t=37701, https://youtu.be/5WoQ0JjMzP8?t=37945, https://youtu.be/5WoQ0JjMzP8?t=38195, https://youtu.be/5WoQ0JjMzP8?t=38390, https://youtu.be/5WoQ0JjMzP8?t=38540, https://youtu.be/5WoQ0JjMzP8?t=38739, https://youtu.be/5WoQ0JjMzP8?t=39024, https://youtu.be/5WoQ0JjMzP8?t=39224, https://youtu.be/5WoQ0JjMzP8?t=39563, https://youtu.be/5WoQ0JjMzP8?t=39780, https://youtu.be/5WoQ0JjMzP8?t=39975, https://youtu.be/5WoQ0JjMzP8?t=40585","the links below open on each individual statement made by governments and organizations during the united nations summit on biodiversity, 30 september 2020.

text versions are available on the united nations website >

president of the 75th session of the general assembly
	united nations secretary-general
	president of economic and social council (ecosoc)
	egypt (cbd cop14 president)
	china (cbd cop15 president)
	united nation environment programme (video)
	heads of undp, cbd and unep and ipbes chair
	hrh prince charles prince of wales
	un secretary-general<U+0092>s youth advisory group on climate change
	guyana on behalf of the group of 77 and china
	malawi on behalf of the least developed countries
	european union
	france
	slovakia
	hungary
	turkey
	poland
	colombia
	peru
	switzerland
	jordan
	liechtenstein
	austria
	israel
	sri lanka
	monaco
	kenya
	slovenia
	south africa
	nigeria
	kiribati
	zimbabwe
	spillover session 1 introduction
	democratic republic of the congo
	comoros
	bolivia (plurinational state of)
	marshall islands
	united kingdom and slovenia introduced to spillover session
	seychelles
	brazil
	sierra leone
	italy
	netherlands
	bhutan
	united kingdom of great britain and northern ireland
	palestine (state of)
	croatia
	mauritius
	denmark
	tonga
	kazakhstan on behalf of landlocked developing countries
	algeria
	myanmar
	uruguay
	japan
	russia
	antigua and barbuda
	united arab emirates
	moldova
	un-department of economic and social affairs (desa)
	germany
	pakistan
	introduction of the co-chairs for leaders dialogue 1: germany and pakistan
	tuvalu on behalf of the pacific islands forum
	belize on behalf of the alliance of small island states
	kyrgyzstan
	mozambique
	zambia
	costa rica
	georgia
	estonia
	botswana
	chile
	pakistan
	thailand
	canada
	namibia
	cuba
	greece
	food and agriculture organization of the united nations (fao)
	united nations educational, scientific and cultural organization (unesco)
	international union for conservation of nature (iucn)
	international parliamentary union (ipu)
	world wide fund for nature (wwf)
	end of leaders dialogue 1
	united nations environment programme (video)
	leaders dialogue 2 introduction
	saint vincent and the grenadines
	sweden (co-chair)
	introduction #2
	fiji
	ecuador
	maldives
	luxembourg
	norway
	bangladesh
	ireland
	czech republic
	nepal
	spain
	senegal
	malaysia
	cape verde
	international labour organization (ilo)
	world bank
	axa group
	sintesa group
	montreal, canada and local governments for sustainability (iclei)
	indigenous leaders
	end of leaders dialogue 2
	end of discussion
	un deputy secretary general
	end
	musical presentation
	spillover session 2
	holy see
	indonesia
	cyprus
	tunisia
	mongolia
	barbados
	saudi arabia
	mauritania
	vietnam
	cameroon
	andorra
	eritrea
	laos
	panama
	iceland
	madagascar
	nicaragua
	chad
	gambia
	philippines
	angola
	ivory coast
	djibouti
	mexico
	venezuela
	malta
	el salvador
	congo
	finland
	belgium
	paraguay
	portugal
	india
	rwanda
	ukraine
	benin
	guatemala
	qatar
	suriname
	ghana
	australia
	papua new guinea
	end",2021-04-16
"124","International Women<U+0092>s Day -- 8 March 2021","https://www.cbd.int/conferences/post2020, https://www.un.org/en/observances/womens-day, https://conservationfilmfest.org/women-who-inspire/, https://www.iwmi.cgiar.org/news/campaigns/international-womens-day-2021/, https://forms.office.com/Pages/ResponsePage.aspx?id=AA76ahT6t0CKLiKn-MNX1QZnPT66GSNPhSQ2UNoZWDNUNlU3VVhBWFNSWFYzQjU2VTJNUVk0RVVWVi4u&wdLOR=cA6C1D741-5889-43F2-AC25-6110D6A60C22, https://twitter.com/hashtag/nature?src=hash&ref_src=twsrc%5Etfw, https://twitter.com/mremae?ref_src=twsrc%5Etfw, https://twitter.com/hashtag/IWD2020?src=hash&ref_src=twsrc%5Etfw, https://t.co/OCfXYUrLnv, https://t.co/1bvuGrhHYh, https://twitter.com/UNBiodiversity/status/1368952648112746502?ref_src=twsrc%5Etfw, https://www.cbd.int/gender/, https://www.cbd.int/gender/doc/cbd-towards2020-gender_integration-en.pdf, https://www.cbd.int/doc/speech/2021/sp-2021-03-05-women-en.pdf","women<U+0092>s leadership is necessary to ensure the future we are working towards is one that will enable desired outcomes for nature and ensure equality for all. 

putting a spotlight on the need for women<U+0092>s leadership at all levels of decision-making and action on biodiversity emphasizes its importance for achieving transformational change. the ambition driving the development of the post-2020 agenda for biodiversity stems from the recognition of the dire state of the natural world and the little time remaining to change course.

effective leadership is a requirement for transformational change, and as such, so is the equal engagement of those who have long been excluded from these fora, particularly women, as well as other marginalized groups.

women<U+0092>s leadership and their full and effective engagement in the development and implementation of the framework is critical for the successful achievement of the 2050 vision of living in harmony with nature. those shouldering the greater share of the costs arising from biodiversity loss must have equal opportunity to lead decision-making processes related to biodiversity at all levels, and must be supported to have the capacity to do so effectively.

 

activities on international women<U+0092>s day 2021

celebrations

the un<U+0092>s official international women<U+0092>s day commemoration event will be hosted online on monday 8 march from 10:00am <U+0096> 12:30pm est. it can be viewed here:



click here to learn more about international women's day

 

watch a video

national geographic has released an inspiring short video which celebrates all the women who fearlessly push boundaries and inspire the next generation of change makers. the video is titled, ""women who inspire"".



take a quiz

the international water management institute has put together a quiz on the role of gender in water and sanitation <U+0096> see how much you know!  

click here to take the quiz

 

join the conversation online



""women<U+0092>s leadership is necessary to ensure the future we are working towards is one that will enable desired outcomes for #nature & ensure equality for all.""
cbd exec sec'y @mremae highlights the importance of women in leadership for #iwd2020.
statement: https://t.co/ocfxyurlnv pic.twitter.com/1bvugrhhyh
<U+0097> un biodiversity (@unbiodiversity) march 8, 2021


 

more information:

gender and biodiversity

guide: addressing gender issues and actions in biodiversity objectives

statement",2021-04-16
"125","Biodiversity provides cost-effective natural infrastructure","https://www.cbd.int/development/doc/biodiversity-2030-agenda-technical-note-en.pdf","the global urban population is expected to reach 5 billion by 2030, and over 60% of the land projected to become urban by 2030 has yet to be developed.

ecosystems and biodiversity underpin the day-to-day functioning of cities and human settlements by delivering the basic services and conditions that enable, support and protect human production, consumption and habitation. healthy ecosystems can provide protection and resilience from extreme weather events and disasters.

urban planning that integrates the consideration of biodiversity can not only benefit biodiversity but can also contribute to more sustainable human settlements. vegetation in cities can reduce the run-off of pollution into water bodies. coral reefs and mangrove forests protect coasts against flooding that are expected to increase with climate change. the strategic placement of trees in urban areas can cool the air between 2°c and 8°c. and, trees properly placed around buildings can reduce air conditioning needs by 30% and save energy used for heating by 20% to 50%.

many of the world<U+0092>s natural heritage sites are biologically diverse, and thus protecting biodiversity supports the preservation of such important areas.

nature-based solutions to the challenges of urban well-being, such as ecosystem-based approaches to climate change adaptation (eba) and disaster risk reduction (eco-drr), enable safe human settlements.
 

more information:

biodiversity and the 2030 agenda for sustainable development",2021-04-16
"126","New CBD Publication on Assessing Progress towards Aichi Biodiversity Target 6 on Sustainable Marine Fisheries","https://www.cbd.int/doc/publications/cbd-ts-87-en.pdf, https://www.cbd.int/doc/publications/cbd-ts-87-en.pdf, https://www.cbd.int/sp/targets/, https://www.cbd.int/marine/","marine fisheries provide livelihoods, food security and recreation for hundreds of millions of people around the world. in order to be sustainable, however, the ecosystems that underpin fish stocks must be biodiverse, healthy and resilient.

the convention on biological diversity acknowledges the clear link between fisheries and biodiversity.  the parties enshrined the need for a strong focus on this link through the adoption of aichi biodiversity target 6 on sustainable fisheries, as part of the 20 aichi biodiversity targets.  aichi biodiversity target 6 addresses various elements of sustainable fishing, including fishing of target stocks, as well as minimizing and eliminating impacts on other species and ecosystems. there are, however, numerous challenges and capacity gaps in assessing progress towards these different elements.

the newly published cbd technical series no. 87 assessing progress towards aichi biodiversity target 6 on sustainable marine fisheries report, drafted by serge garcia and jake rice of the fisheries expert group of the iucn commission on ecosystem management, provides an expert analysis of the needs and challenges associated with the reporting and assessment of the different elements of target 6. this analysis also provides a valuable source of knowledge and lessons in setting future goals and targets, with associated monitoring and reporting frameworks, related to fisheries and biodiversity.

target 6 is not likely to be met by the end of 2020. still, it has led to achievements such as:

increased awareness of the link between fisheries and biodiversity.
	increased dialogue and collaboration between the fisheries and biodiversity communities.
	valuable insights in the development of the post-2020 global biodiversity framework.
in addition, progress has been made on the development and implementation of measures aimed at achieving the mutually reinforcing goals of sustainable fisheries and biodiversity conservation. 

<U+0093>the substantial progress made towards target 6 underscores the crucial lesson that efforts to mainstream biodiversity into fisheries management, and fisheries into biodiversity conservation, are fully compatible-giving a solid foundation for working together towards our shared goals,<U+0094> said the report<U+0092>s co-author jake rice.

although target 6 will not be achieved, it<U+0092>s critical to learn lessons from progress made thus far, as the global community sets future goals and targets for biodiversity. 

 

more information: 

cbd technical series no. 87 assessing progress towards aichi biodiversity target 6 on sustainable marine fisheries

aichi biodiversity targets

marine and coastal biodiversity",2021-04-16
"127","New CBD Publication on Assessing Progress towards Aichi Biodiversity Target 6 on Sustainable Marine Fisheries","https://www.cbd.int/doc/publications/cbd-ts-87-en.pdf, https://www.cbd.int/doc/publications/cbd-ts-87-en.pdf, https://www.cbd.int/sp/targets/, https://www.cbd.int/marine/","aichi biodiversity target 6: by 2020, all fish and invertebrate stocks and aquatic plants are managed and harvested sustainably, legally and applying ecosystem based approaches, so that overfishing is avoided, recovery plans and measures are in place for all depleted species, fisheries have no significant adverse impacts on threatened species and vulnerable ecosystems and the impacts of fisheries on stocks, species and ecosystems are within safe ecological limits.",2021-04-16
"128","Slogan Contest for the United Nations Biodiversity Conference (COP15) Kunming, China 2021","https://www.cbd.int/cop/, https://www.cbd.int/doc/c/0b54/1750/607267ea9109b52b750314a0/cop-14-09-en.pdf, https://english.mee.gov.cn/News_service/news_release/202008/t20200831_796098.shtml, https://www.cbd.int/cop/cop-15/cop15-slogan-call-extended.pdf, https://www.cbd.int/cop/cop-15/cop-15-logo-guidelines.pdf, https://www.cbd.int/meetings/COP-15","the next un biodiversity conference, also known as the fifteenth meeting of the conference of the parties to the convention on biological diversity (cop15), will be held in kunming, china, in 2021. it is an extremely important event, which will set the course for global biodiversity conservation for the next decade and beyond, with an aim to realize the 2050 vision of <U+0093>living in harmony with nature<U+0094>. 

to build up the public awareness and call the whole world to pay sufficient attention to the conservation and sustainable use of biodiversity, the executive committee for the preparation of cop15 is pleased to announce an online call to solicit slogans for the conference.
 

the call for slogans is open to any organization or individual regardless of location.

the proposed slogan(s) should encapsulate the theme of cop15, which is <U+0093>ecological civilization: building a shared future for all life on earth<U+0094>. 

the slogan(s) should:

reflect the vision of cop15 <U+0093>living in harmony with nature<U+0094> and express the essential role of biodiversity conservation in building a shared future for all life on earth. 
	be clear, concise, powerful, catchy, inspiring, engaging and short (max. 15 words). a brief explanation or description (max. 200 words) may be attached (optional).
	be original, which means it has not been previously used for other purposes.
	be submitted in english (both english and chinese are encouraged).
please submit your slogan(s) no later than 30 april 2021, either through this form (http://bit.ly/cop15slogan) or send an email to cop15slogan@cbd.int with the subject line <U+0093>cop15 slogan <U+0096> [your country name]<U+0094>.

 

more information:

full contest information (pdf version)

about the cop15 logo

cop15 documents",2021-04-16
"129","Slogan Contest for the United Nations Biodiversity Conference (COP15) Kunming, China 2021","https://www.cbd.int/cop/, https://www.cbd.int/doc/c/0b54/1750/607267ea9109b52b750314a0/cop-14-09-en.pdf, https://english.mee.gov.cn/News_service/news_release/202008/t20200831_796098.shtml, https://www.cbd.int/cop/cop-15/cop15-slogan-call-extended.pdf, https://www.cbd.int/cop/cop-15/cop-15-logo-guidelines.pdf, https://www.cbd.int/meetings/COP-15","by submitting any slogan, the entrant represents and warrants the submitted slogan does not infringe the intellectual property rights of others. all legal consequences resulting from legal disputes regarding copyright and other matters shall be borne by the entrant. the organizer shall not be held liable for any legal and related joint and several liabilities. by issuing this announcement, the organizer is regarded to have fulfilled its notification obligation. 

according to the relevant provisions of the copyright law of the people<U+0092>s republic of china, the organizer owns the ownership, the full right to use, the right to register and copyright of the shortlisted and winning entries, and has the right to develop, modify, authorize, license or protect the winning entries in any form without any compensation or condition.

in the case of duplicate or identical entries, the first entry to arrive at the designated submission email address will be accepted (determined by the received time). once submitted, entries will not be returned to entrants, regardless of whether they are accepted or not, therefore the entrants may wish to keep a copy of their slogans.",2021-04-16
"130","Slogan Contest for the United Nations Biodiversity Conference (COP15) Kunming, China 2021","https://www.cbd.int/cop/, https://www.cbd.int/doc/c/0b54/1750/607267ea9109b52b750314a0/cop-14-09-en.pdf, https://english.mee.gov.cn/News_service/news_release/202008/t20200831_796098.shtml, https://www.cbd.int/cop/cop-15/cop15-slogan-call-extended.pdf, https://www.cbd.int/cop/cop-15/cop-15-logo-guidelines.pdf, https://www.cbd.int/meetings/COP-15","please submit your slogan(s) no later than 30 april 2021, either through the form at http://bit.ly/cop15slogan or send an email to cop15slogan@cbd.int with the subject line <U+0093>cop15 slogan <U+0096> [your country name]<U+0094>. the form will send an automatic confirmation, and if you submit by email you will receive a confirmation email. submissions are exclusively online. organizations and individuals who will have submitted the winning slogans may be asked for more information at a later stage for pr purposes.",2021-04-16
"131","Slogan Contest for the United Nations Biodiversity Conference (COP15) Kunming, China 2021","https://www.cbd.int/cop/, https://www.cbd.int/doc/c/0b54/1750/607267ea9109b52b750314a0/cop-14-09-en.pdf, https://english.mee.gov.cn/News_service/news_release/202008/t20200831_796098.shtml, https://www.cbd.int/cop/cop-15/cop15-slogan-call-extended.pdf, https://www.cbd.int/cop/cop-15/cop-15-logo-guidelines.pdf, https://www.cbd.int/meetings/COP-15","in the first round of selection, 30 entries will be shortlisted to participate in online voting open to the public. the selection committee will determine the top 11 slogans based on the results of the online voting and its evaluation. the first-place winner will receive a grand award certificate; the other 10 winning entrants will receive award of excellence certificates. the organizer will release the awarded entries on its websites and social media platforms.",2021-04-16
"132","Slogan Contest for the United Nations Biodiversity Conference (COP15) Kunming, China 2021","https://www.cbd.int/cop/, https://www.cbd.int/doc/c/0b54/1750/607267ea9109b52b750314a0/cop-14-09-en.pdf, https://english.mee.gov.cn/News_service/news_release/202008/t20200831_796098.shtml, https://www.cbd.int/cop/cop-15/cop15-slogan-call-extended.pdf, https://www.cbd.int/cop/cop-15/cop-15-logo-guidelines.pdf, https://www.cbd.int/meetings/COP-15","for inquiries, please contact the secretariat of the convention on biological diversity at cop15slogan@cbd.int .",2021-04-16
"133","IPBES Pandemics Report: Escaping the 'Era of Pandemics'","https://ipbes.net/pandemics, https://www.cbd.int/gbo5, https://www.cbd.int/sp/, https://www.cbd.int/conferences/post2020, https://ipbes.net/pandemics, https://www.cbd.int/doc/press/2020/pr-2020-10-29-ipbes-en.pdf, https://www.cbd.int/article/Nature-COVID19, https://www.who.int/news-room/q-a-detail/one-health","watch the live report launch on 29 october at 10am est



an urgent virtual workshop about the links between degradation of nature and increasing pandemic risks was convened by the intergovernmental science-policy platform on biodiversity and ecosystem services (ipbes). the workshop resulted in the development of a major new report on biodiversity and pandemics which suggests that addressing disruptive human activities and unsustainable consumption and increasing biodiversity conservation are some of the changes needed to proactively deal with infectious diseases. the experts agree that:

unsustainable exploitation of the environment has led to almost all pandemics, and
	escaping the era of pandemics is possible, but that this will require a seismic shift in approach from reaction to prevention.
covid-19 is said to be the sixth global health pandemic since the great influenza pandemic of 1918.  although it has its origins in microbes carried by animals, like all pandemics its emergence has been entirely driven by human activities. it is estimated that another 1.7 million currently <U+0091>undiscovered<U+0092> viruses exist in mammals and birds <U+0096> of which up to 850,000 could have the ability to infect people.

the report says that relying on responses to diseases after their emergence, such as public health measures and technological solutions, in particular the rapid design and distribution of new vaccines and therapeutics, is a <U+0093>slow and uncertain path<U+0094>, underscoring both the widespread human suffering and the tens of billions of dollars in annual economic damage to the global economy of reacting to pandemics.

<U+0093>it is very clear that we must do better to prevent the emergence of infectious diseases rather than reacting to them once they are already here. reducing present and future pandemic risks can only be effective, and transformative, if we address the common drivers of biodiversity loss and ill health<U+0094> said elizabeth maruma mrema, executive secretary, convention on biological diversity.

conclusions reached in the report support the conclusions and recommendations put forth in the recently released fifth edition of the global biodiversity outlook (gbo-5). the gbo-5 outlines eight major transitions needed to slow, then halt nature<U+0092>s accelerating decline.

the ipbes report supports the lessons learned over the last decade of implementing the strategic plan for biodiversity 2011-2020 and provides directions for the way forward in developing the post-2020 global biodiversity framework, to be agreed in 2021.

 

more information:

link to report information

press release

nature isn't the problem; it's how we interact with nature",2021-04-16
"134","IPBES Pandemics Report: Escaping the 'Era of Pandemics'","https://ipbes.net/pandemics, https://www.cbd.int/gbo5, https://www.cbd.int/sp/, https://www.cbd.int/conferences/post2020, https://ipbes.net/pandemics, https://www.cbd.int/doc/press/2020/pr-2020-10-29-ipbes-en.pdf, https://www.cbd.int/article/Nature-COVID19, https://www.who.int/news-room/q-a-detail/one-health","launching a high-level intergovernmental council on pandemic prevention to provide decision-makers with the best science and evidence on emerging diseases; predict high-risk areas; evaluate the economic impact of potential pandemics and to highlight research gaps. such a council could also coordinate the design of a global monitoring framework.",2021-04-16
