"","title","link","text","collection_date"
"71","Seabed Authority Concludes Twentieth Anniversary Session; Assembly Elects 17 Council Members","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","the historic twentieth session of the international seabed authority ended in kingston this afternoon after its assembly completed debate on the secretary-general’s annual report and acted on five decisions including the authority’s budget for the 2015-2016 biennium. the assembly set 13-24 july 2015 as the date for the authority’s next session.
the 166-member assembly also elected 17 members to fill vacancies in the authority’s council for a four-year period, beginning 1 january 2015 (isba/ 20/a/l.6* ).
the assembly approved amendments to regulation 21of two regulations, one on prospecting and exploration for polymetallic sulphides (isba/20/a/l.3), and the other for polymetallic nodules (isba/20/a/l.4).
in other action, the assembly approved the report of the credentials committee (isba/20/a/6), which was presented by its chair, godelieve van den bergh (belgium). she reported that of the authority’s 166 members, the credentials of 67 were received by the secretariat. the credentials committee comprised belgium, indonesia, kenya, myanmar, panama, russian federation, south africa, trinidad and tobago, and the united kingdom.
the assembly president antonio francisco da costa e silva neto (brazil) then gave the floor to the vice-chairman of the finance committee, duncan muhumuza laki (uganda) to introduce the report and recommendations of the finance committee.
acting on the recommendation of its council, the authority adopted the budget of the authority for the financial period 2015-2016 in the amount of $15,743,143. the 12-paragraph decision which related to the authority’s budget (isba/20/a/l.2) included three paragraphs that were added by the council upon its adoption of the recommendations of the finance committee. the added paragraphs were:
7. requests the secretary-general, in future budget proposals, to provide a complete narrative in support of the proposed budget requests, as well as a breakdown of projected costs in respect of large items of expenditure or those in which a significant variance in relation to the previous budget is proposed;
8. also requests the secretary-general to ensure that the budget is in line with the priorities set by the council and the assembly, in particular with the need to develop the exploitation code, and to make available all relevant documents used to prepare the reports of the finance committee;
12. expresses appreciation to those members of the authority who have made voluntary contributions to the voluntary trust fund and endowment fund for marine scientific research in the area.
election of council members
 the council is composed of five groups of states members of the authority, four of which have special interests in aspects of seabed mining. the fifth ensures equitable geographical balance in the council as a whole.
 those elected this afternoon to serve on the 36-member council for the period 2015 to 2018, in accordance with the convention on the law of the sea and assembly decisions, are:
group a:   italy and russian federation (italy would relinquish its seat in group a in favour of the united states if it became a member of the authority; this does not prejudice the position of any country with respect to any intervening election to the council).
group b:   france, germany and republic of korea (germany was re-elected for a period of four years (2015-2018), on the understanding that belgium will occupy the seat in group b for the year 2016).
group c:  australia and chile   (australia was re-elected for a period of four years (2015-2018), on the understanding that in 2017 it will relinquish its seat in group c to indonesia. australia will be a member of group e in 2017. chile is re-elected for a period of four years (2015-2018), on the understanding that in 2018 it will relinquish its seat in group c to indonesia. chile will be a member of group e in 2018).    
group d:   fiji, jamaica and lesotho.
group e:  ghana, indonesia, mexico, nigeria, singapore and tonga (indonesia was re-elected to the council for a period of four years (2015-2018) on the understanding that in 2017 it will relinquish its seat in group e to australia and will occupy the seat in group c relinquished by australia, and in 2018 indonesia will relinquish its seat in group e to chile and will occupy the seat in group c relinquished by chile).     
debate on secretary-general’s report
earlier, the assembly at its morning meeting concluded its debate on the report of the secretary-general, nii allotey odunton (ghana) which reviewed the inter-governmental body’s activities for the past year and its future work programme.
the netherland’s call for a multi-year work plan for the adoption of regulations for exploitation of mineral resources of the deep seabed was echoed by brazil, new zealand, australia, and jamaica. delegations felt that an incremental approach to the important task of formulation those regulations would not be efficient.
regarding overhead charges for the administration and supervision of exploration contracts, brazil suggested an approach to determining reasons why some contractors had not agreed to signing the amended contract.
responding, the secretary-general said the work plan would be developed in collaboration with the legal and technical commission to include the projected number of meetings of the commission and council and the number of workshops to be held. he said the work plan would be completed in time for the 2015 session. on the issue of fees, mr. odunton said that would be a matter for the commission to consider when contract extensions were discussed with contractors.
other matters
under other matters, tonga announced that it would contribute $1,000 to the endowment fund for marine scientific research in the area.
a question related to reporting relationship of the president of the council and the assembly was raised. brazil, in its interpretation of article 162, paragraph 2 (h) of the united nations convention on the law of the sea, felt that a report by the council’s president should be included as an agenda item of the assembly. the representative of the netherlands, supporting brazil, said it would be useful to have such a document for discussion. trinidad and tobago said it shared brazil’s interpretation of the relevant article.
jamaica thanked delegates for their expressions of appreciation towards the host country and its people, and promised to address any issue concerning the facilities which housed the authority’s secretariat.tweets by isbahqna",2021-04-16
"72","Workshop: ""Towards an ISA Environmental Management Strategy for the Area""","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.isa.org.jm/authority/secretary-general-statements, https://www.isa.org.jm/photo-gallery/ubabgrisa-workshop, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","jamaica, kingston (22 march 2017) - - secretary-general michael lodge was opening speaker at the uba/bgr/isa international workshop currently being held in berlin, germany. 
in his opening remarks, secretary-general lodge said the authority’s mandate is limited to ‘activities in the area’, which are defined as exploration for and exploitation of deep seabed mineral resources. 
“the authority’s main responsibility with regard to the marine environment is to ‘prevent, reduce and control pollution and other hazards’ to the marine environment, where ‘pollution’ is a defined term in article 1 of the convention.”
 
“it is true that we are regulating a new activity. there may be many questions and doubts about the long-term consequences. but we need to take a rational and incremental approach. this industry is not going to happen overnight. contractors will advance their activities according to different timescales. “
 
“we have an impressive range of expertise in the room and a diverse range of views and opinions. nevertheless, i am confident that collectively, and through focused conversations at expert level, we can identify the necessary solutions to build a mining code that allows for the sustainable development of mineral resources in the area in a way that balances commercial and environmental considerations.”
 
the workshop is being held from 19-24 march 2017 and is jointly organized by the german environment agency (uba) on behalf of the federal ministry for the environment, nature conservation, building and nuclear safety (bmub), the federal institute for geosciences and natural resources (bgr) on behalf of the federal ministry for economic affairs and energy (bmwi) and the secretariat of the international seabed authority (isa) and supported by the institute for advanced sustainability studies potsdam e.v. (iass).
the objective of the workshop is to help the authority to design a strategy for environmental management of deep seabed mining and aims to deal with governance issues such as overarching principles, regional planning and adaptive management.
participants include representatives from non-governmental organizations, scientific and legal institutions and private and public sector from australia, belgium,  brazil, cameroon, china, cook islands, germany,  india, jamaica, japan, nauru, new zealand, netherlands, norway,  poland,  singapore,  united kingdom and united states of america.
full statement  | photos ©bgr
- end -tweets by isbahq",2021-04-16
"73","DeepData workshop highlights importance of global data sharing platform to improve knowledge of deep-sea ecosystems and protect the marine","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","press release22 september 2020the ‘workshop on deepdata: focusing on data management strategy,’ organized by the international seabed authority (isa), opened this week with a key focus on developing strategic approaches for collaboration to promote exchange and sharing of deep-sea data, and improve scientific knowledge of deep-sea ecosystems in the international seabed area (the “area”) .

deepdata is the only global database designed to organize information related to deep-sea mineral resources and their environment collected by isa exploration contractors during exploration activities. these data and information are systematically collected, standardized, and stored to facilitate data analysis and enhance our collective ability to understand and protect the marine environment in the area.

the five-day workshop held remotely from 21 to 25 september 2020, will bring together over 150 representatives from isa member states, as well as observers, contractors, international and regional organizations, academic institutions, and scientific groups to further develop the functionality of the database, and how the data can be accessed and utilized to benefit humanity as whole.

in his welcome remarks, isa secretary-general mr. michael w. lodge, underlined the importance of the workshop to advancing isa’s mandate under the united nations convention on the law of the sea (unclos), particularly as it relates to promoting and encouraging marine scientific research in the area and coordinating the dissemination of the results of this research.

“the launch of deepdata represents a critical achievement,” said the secretary-general. “in designing the database, we have given careful consideration to the different needs of key users, from the legal and technical commission (ltc), to the contractors and the general public,” he added. “these discussions and exchanges will be instrumental to enable the secretariat to progress in its task and ensure that deepdata meets all expectations.”

in her opening remarks, chairperson of the ltc, ms. michelle walker of jamaica, highlighted the need for the secretariat to establish a data management strategy that would optimize the storage of increasingly large volumes of data.

“the central data repository has experienced rapid growth following the increase in the number of exploration contracts, from 10 in 2011 to 30 contracts today,” said ms. walker. “i had the pleasure of joining the launch of deepdata, during the isa 25th session in 2019, where i spoke on its importance to the work of the commission,” she added. “ahead of us are many challenges and opportunities; with our continued collaboration, i am optimistic that deepdata will fulfil its mandate.”

the workshop will be conducted in three parts over the five days including a meeting for ltc members (2 days) from monday, 21 to tuesday, 22 september; a meeting for contractors (2 days) from wednesday, 23 to thursday, 24 september, and an open meeting for the public (1 day) on friday, 25 september.

for more information on the workshop visit: bit.ly/3f29hse

for media enquiries, please contact:

ms. katie elles, communications specialist, international seabed authority m: +1 (876) 838 8323/ e: kelles@isa.org.jm

-----------------

for more information visit our website www.isa.org.jm or follow us on twitter @isbahq",2021-04-16
"74","The Russian Federation Applies For Approval Of Plan Of Work For Exploration For Polymetallic Sulphides","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","kingston jamaica, 10 january 2011 - - the ministry of natural resources and the environment of the russian federation submitted an application to the international seabed authority for approval of a plan of work for exploration for polymetallic sulphides in the area.
the general location of the application area is on the mid-atlantic ridge.
in accordance with regulation 19 of the regulations, the ministry of natural resources and the environment of the russian federation has elected to offer an equity interest in a joint venture arrangement. the ministry has also elected to pay the fixed fee of us$500,000 for its application, pursuant to regulation 21, paragraph 1(a), of the regulations.
in accordance with the regulations, the members of the legal and technical commission (ltc) will be notified and consideration of the application will be placed on the agenda of the commission at its next meeting.
the ltc is a body of experts entrusted with various functions relating to activities in the deep seabed area including the review of applications for plans of work, supervision of exploration or mining activities, assessment of the environmental impact of such activities and provide advice to the international seabed authority’s assembly and council on all matters relating to exploration and exploitation of non-living marine resources (such as polymetallic [manganese] nodules, polymetallic sulphides and cobalt crusts).tweets by isbahqna",2021-04-16
"75","International Seabed Authority Holds Briefing Session for Permanent Representatives","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","jamaica, kingston (9 november 2017) - - the secretary-general of the international seabed authority, today hosted a briefing session for kingston-based permanent representatives to the authority.
in his brief, mr lodge spoke about the authority’s work in progress following the decisions adopted during the 23rd session in august.
at the briefing session, the permanent representatives were updated on the status of the draft regulations for exploitation for which member states were encouraged to make their submissions before the preferred deadline of 17 november.
the representatives were also introduced to the early stages of a strategic plan for the authority.
in his presentation, secretary-general lodge said that in order to develop the plan, three strategic directions could be followed: 
•    develop and maintain comprehensive regulatory framework; 
•    promote participation of developing states and capacity building; and 
•    enhance the status and effectiveness of the authority.
after the briefing session, representatives were also privy to an unveiling ceremony of portraits of the two former secretaries-general – he mr satya n nandan who served from 1995-2007 and he mr nii allotey odunton who served from 2008-2016.

kingston-based permanent representatives at the briefing session

secretary-general lodge introducing the early stages of the strategic plan for the authority

portraits of former secretaries-general, he mr satya n nandan and he mr nii allotey odunton

isba/2017/pr/035tweets by isbahq",2021-04-16
"76","1st Part of the 25th Annual Session of the International Seabed Authority (ISA) Highlights for Wednesday, 27 February 2019","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","press release28 february 2019on wednesday, the council of the international seabed authority (isa) continued its deliberations, addressing cooperation with other relevant international organizations and further focusing on components of the draft regulations for exploitation of mineral resources in the area, including:
independent review of environmental plans and performance assessments; and
an inspection mechanism.
highlights of the day include:
an in-depth discussion on independent reviews of environmental plans, offering concrete organizational ideas and ways to avoid potential conflicts of interest;
general agreement for a transparent, geographically-balanced, and cost-effective way to conduct the reviews;
exchange of ideas on the social necessity of deep sea mining to allow the transition towards a carbon-free, circular economy; and
announcement of the second edition of the secretary-general’s award for excellence in deep sea research, accompanied by a financial reward of usd 25,000, offered by the principality of monaco.
two side events took place during the day. at lunchtime, pew charitable trusts held an event on new data and insights from the clarion-clipperton zone; during the afternoon, the deep sea conservation coalition organized a discussion on the role and purpose of environmental impact assessments.
for extensive details on the day’s negotiations and to hear what delegates said in the corridors, see our daily earth negotiations bulletin.
---------",2021-04-16
"77","ISA Co-organizes Side Event to Raise Awareness of Potential Benefits Small Island Developing States could get from Deep Seabed Mining in their Quest for Blue Growth","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","new york (8 june 2017) - - the isa today,  co-organized a side event the government of mexico, the kingdom of tonga and un-desa with support from tonga mineral resources ltd and nautilus  during the ocean conference.
the side event also saw the launching of the un-desa and isa voluntary commitment partnership on abyssal initiative for blue growth: advancing sdg 14 and the quest for a blue economy through the promotion of socio-economic benefits for developing countries, including sids, and increasing scientific knowledge and research capacity: perspectives on deep seabed mining by promoting the blue economy concept as a means to enable sids to benefit fully from sustainable development of their deep-sea mineral resources.
in his opening remarks, secretary-general michael lodge expressed his gratitude to mr juwang zhu, un desa director of the division for sustainable development for officially launching the partnership between un-desa and the isa, adding that the strengthened cooperation would create unique conditions to develop on-going capacity-building opportunities for sids in the field of deep sea mining.
presentations were made by h.e mr. mahe ‘uli’uli sandhurst tupouniua, ambassador, permanent mission of the kingdom of tonga to the united nations;  mr sainivalati navoti, chief, sids unit on behalf of un-desa; mr. siosiua utoikamanu, development economist, member of the legal and technical commission of the isa, kingdom of tonga; mr. mike johnston, ceo, nautilus minerals; dr. patrick ho, vice-chairman and secretary-general of the china energy fund committee; mr. alejandro alday, legal adviser, ministry of foreign affairs of mexico and dr. natalia amezcua,  servicio geológico mexicano.
the presentations highlighted the potential socio-economic and scientific benefits for sids to sponsor exploration activities in the area; blue economy/blue growth initiatives focusing on psids; and the efforts for advancing scientific knowledge and research capacity for the benefit of developing countries including the experiences of mexico through its annual contribution to the isa's endowment fund for marine scientific research in the area and by hosting a isa sensitization workshop.  in addition, dr. natalia amezcua, government scientist in the geology agency of mexico, and former comra trainee, described the usefulness of the contractor training programme by comra in her daily work in promoting the development of the sector in mexico, as well as involving her country in activities in the area.
 

more photos
- end -tweets by isbahq",2021-04-16
"78","Prof Mariusz-Orion Jedrysek of Poland Elected President of ISA Assembly","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","jamaica, kingston (23 july 2018) - -  professor mariusz-orion jedrysek of poland was elected president of the international seabed authority assembly for the 24th session.  he succeeds mr eugénio muianga of mozambique.
mr jedrysek is secretary of state and chief national geologist and deputy minister of environment of poland.  he is also government plenipotentiary, national mineral policy of poland and member of sejm, parliament lower chamber.
the assembly consists of all 168 members of the authority.  as the supreme body,  to which other bodies report, it is responsible for setting general policies and regularly reviewing the work of the authority.
- end -

isba/pr/2018/035tweets by isbahq",2021-04-16
"79","Brazil Applies For Approval Of Plan Of Work For Exploration For Cobalt-Rich Ferromanganese Crust","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","on 31 december 2013, the authority received an application for approval of a plan of work for exploration for cobalt-rich ferromanganese crust in the area submitted by companhia de pesquisa de recursos minerais (cprm), which is a brazilian state enterprise. the application is sponsored by the government of the federative republic of brazil.
the application area is in the rio grande rise and the applicant has elected to offer an equity interest in a joint venture arrangement with the enterprise in lieu of a reserved area.
in accordance with the regulations on prospecting and exploration for cobalt-rich ferromanganese crust in the area, the members of the legal and technical commission will be notified of the above application and consideration of this application will be placed on the agenda of the commission at its next meeting, which is scheduled to commence on 3 february 2014.tweets by isbahqna",2021-04-16
"80","ISA Legal & Technical Commission Meets in Kingston","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","jamaica, kingston (february 16, 2015)  -  the legal & technical commission (ltc) of the international seabed authority commenced its first 2-week session of meetings in kingston today.
the ltc will review reports on the status of contracts for exploration and the implementation of the training programmes; consider applications for approvals of plans of work for exploration in the area; review the status of the implementation of the environmental management plan for the clarion-clipperton zone; review the outcomes and recommendations of the 2014 authority's workshops on polymetallic nodules resource classification (india, october 2014) and the standardization of macrofaunal taxonomy (korea,  november 2014), and continue work on draft regulations for exploitation.
the commission is also expected to select qualified candidates for training opportunities provided by china ocean mineral resources research and development association (comra).
the ltc february meeting from 16-27 february is the first of the commission's annual meetings. the second will be held during the authority's twenty-first annual session later in july this year.
the commission is an organ of the council of the international seabed authority and currently consists of 25 members who are elected by the council for a period of 5 years on the basis of personal qualifications relevant to the exploration, exploitation and processing of mineral resources, oceanography, economic and/or legal matters relating to ocean mining and related fields. it is entrusted with various functions relating to activities in the deep seabed area including the review of applications for plans of work, supervision of exploration or mining activities, assessment of the environmental impact of such activities and provide advice to the international seabed authority’s assembly and council on all matters relating to exploration and exploitation of non-living marine resources (such as polymetallic [manganese] nodules, polymetallic sulphides and cobalt crusts).tweets by isbahq",2021-04-16
"81","ISA/IOM to Host Joint Workshop in Warsaw, Poland","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.isa.org.jm/workshop/processing-technologies-metal-recoveries-economic-feasibility-deep-sea-mining-3-6-sept-2018, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","jamaica, kingston (2 august 2018) - - the international seabed authority, interoceanmetal joint organization (iom) and the ministry of the environment in poland are jointly organizing a workshop on processing technologies, metal recoveries & economic feasibility of deep sea mining at the ministry of environment in warsaw, poland 3-6 september, 2018.
the workshop will focus on the following core areas: processing technologies (metal recovery); economic feasibility of mining seabed minerals; impact of seabed mining on terrestrial mineral supplies; environment – clean marine technology, waste disposal and recycling; and, international cooperation, and role of the isa.
the authority is inviting stakeholders and in particular, contractors holding exploration contracts, to participate in the workshop. with a limited number of available places, interested persons are required to register by submitting a letter of interest to the authority by 7 august 2018.
the authority conducts technical workshops with objectives to obtain the views of recognized experts in specific subjects related to deep seabed mining, with participation by members of the legal and technical commission (ltc), as well as representatives of contractors, the offshore mining industry experts and member states and internationally recognized scientists, technologists and researchers.
for more details on the workshop, visit the dedicated workshop page on our website.  for further information, please contact: dr. pratima jauhari / dr. sandor mulsow and/or ms. shanique gregory.
 
- end -

isba/pr/2018/038tweets by isbahq",2021-04-16
"82","Legal and Technical Commission Meets in Kingston","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.isa.org.jm/document/isba23ltcl1, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","jamaica, kingston (21 february 2017) - - the legal and technical commission officially opened its meeting session today following an informal workshop and training session held yesterday, 20 february 2017. 
the informal workshop was held to familiarize the new members with the working methods of the commission, the work of the authority, and also covered the work of the commission over the last five years.
at today’s meeting, the commission elected mr. christian reichert from germany as chair and ms. michelle walker from jamaica as vice-chair. the commission also adopted its agenda. 
the commission is expected to discuss activities of the contractors; consider regulatory activities of the authority; and other matters referred to the commission by the council of the authority.
the february meeting is the first session of meetings for the commission and ends 3 march 2017. the second session will take place the week immediately prior to the authority’s annual session in 2017
.
 
 * *** *tweets by isbahq",2021-04-16
"83","ISA Selects Five Candidates for Internships offered by Ifremer","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","jamaica, kingston (9 may 2016) - -  the isa legal and technical commission has selected five candidates for internships offered by institut francais de recherche pour i’exploitation de la mer (ifremer).
the candidates will participate in a 5-day taxonomy workshop that will be held in brest, france, from 27 june to the 1 july 2016 as part of the yearly summer schools organized by labexmer.
the five first-ranked candidates are as follows:
mr. aristide sorel tseng ngongla
cameroon
mr. dharmendra pratap singh
india
ms. lorelie a. burgos
philippines
ms. anabela taverna 
argentina
ms. beatriz eugenia mejia
colombia
should any of the above candidates be unable to attend the programme, 10 alternates have been selected as replacements: 
alternates
1.
 ms. bin qi gan 
singapore
2.
 ms. juliana lopes segadilha
brazil
3.
mr. abdul-rahman dirisu 
nigeria
4.
mr. dongsheng zhang 
china
5.
ms. huong thi lan tu
vietnam
6.
ms. shagnika das
india
7.
ms. rachel bolufe
cuba
8.
mr. mostafa mahmoud
egypt
9.
 mr. shivanagouda sanagoudra
india
10.
mr. sarvanen curpen
mauritius
 a total of 76 applications from 32 countries were received for the workshop. 
the objective of the workshop is to gain experience and learn the basic theoretical and practical skills required to process samples and identify taxa of the benthic meio- and macrofauna. a session will also be dedicated to the deep-sea fauna associated with the nodule fields.
~ends~tweets by isbahq",2021-04-16
"84","Extension of the deadline for submission of written comments and proposals by ISA Council members on the first draft of a mechanism for the election of members of the Legal and Technical Commission","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","announcement14 may 2020the international seabed authority (isa) secretariat is pleased to convey to members of the isa council that mr. vladislav kurbatskyi, the facilitator nominated by the council, has decided to extend the deadline for submission of written comments and proposals on his first draft of a mechanism for the election of members of the legal and technical commission (ltc), submitted on 22 april 2020.

the draft can be downloaded here.

all members of the isa council are invited to provide written comments and proposals on the facilitator’s first draft via email to the secretariat (council2020@isa.org.jm(link sends e-mail)) by 25 may 2020. this feedback will be conveyed to the facilitator and will enable the intersessional work as envisaged in the decision of the council on this subject (isba/26/c/9). 

after reviewing the comments and proposals, the facilitator will submit an amended draft to the secretariat by 15 june 2020, which will be circulated to members of the council.

for enquiries please contact: ms. gwenaelle le gurun, legal officer: glegurun@isa.org.jm(link sends e-mail)

-----------------

for more information visit our website www.isa.org.jm or follow us on twitter @isbahq",2021-04-16
"85","High-level regional workshop boosts participation of Pacific Island countries in deep sea activities to advance the Blue Economy","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","press release16 february 2019governments officials and experts from pacific small island developing states (p-sids) convened at a regional workshop held in nuku’alofa, kingdom of tonga this week, to strengthen national and regional capacities to access sustainably and benefit from seabed activities and therefore, from the blue economy.
organized by the international seabed authority (isa), in partnership with the un department of economic and social affairs (undesa), and hosted by the kingdom of tonga, the workshop provided a unique opportunity to discuss further the potential benefits associated with an increased participation of p-sids in deep sea related activities in the international seabed area.
in his opening statement, isa secretary-general mr michael lodge highlighted that the pacific region has been at the forefront when it comes to developing a sustainable deep-sea minerals industry and promoting good governance of marine resources.
“pacific island countries, more than any others, understand very well that it is possible to use marine resources sustainably whilst also fulfilling their responsibilities to the marine environment,” he said. “we need to turn natural capital into human capital, to improve living conditions and to create a better world for future generations.”
mr mahe ‘u.s tupouniua, secretary for foreign affairs, kingdom of tonga added, “the pacific has, and continues to play a leading role in the development of the concept of the blue economy which will contribute to the sustainable development of the region whilst being mindful of needing to conserve and protect the marine environment.”
mr sai navoti, chief, sids unit, undesa highlighted that there are certain capacity characteristics common to p-sids in regards to their quest for deep-sea mining. “these include capacity deficiency on collection and dissemination of geological and mineral resources data and information, and largely untested national laws and policies, along with weak understanding of appropriate environmental framework for deep marine environment, and near total neglect of the social policies necessary for deep-sea mining to ensure adequate and commensurate benefit sharing,” said mr navoti. “the abyssal initiative of isa and undesa aims at addressing some of these capacity gaps,” he added.
mr akuila tawake, deputy director, georesources sector and energy programme at the pacific community (spc) reiterated the role of spc in the region in providing technical advice to members in relation to sustainable of deep-seabed related activities within and beyond national jurisdictions and emphasised the importance of “collective efforts to ensure that pacific island countries and communities will ultimately benefit from any deep sea mining initiative, including the responsible harnessing of deep sea mineral resources within national jurisdiction as well as in “the area.”
held from 12 to 14 february 2019 at the tanoa international hotel, the workshop is part of the joint isa-undesa ‘abyssal initiative for blue growth,’ one of the seven voluntary commitments made by isa at the 2017 un ocean conference to advance implementation of sustainable development goal 14 (sdg 14) to conserve and sustainably use the oceans, seas and marine resources (#oceanaction16538).
the workshop focused on the status of deep seabed mining activities in the pacific, the roles and responsibilities of sponsoring states, the legal regime for marine scientific research, and the environmental management of resources. 
panellists included representatives from spc, the pacific island forum secretariat-office of the pacific ocean commissioner (pif-opoc), deep green metals, and tonga offshore mining limited (toml) as well as representatives of the legal and technical commission of isa.
for more information about the ‘abyssal initiative for blue growth,’ visit: bit.ly/psids_vc5
* ** *
for media enquiries, please contact: 
ms. katie elles, communications specialist, international seabed authority m: +1 (876) 835 3801/ e: kelles@isa.org.jm
-----------------
for more information visit our website www.isa.org.jm or follow us on twitter @isbahq",2021-04-16
"86","ISA Announces UKSRL Training Programme","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.isa.org.jm/scientific-activities/uk-seabed-resources-ltd-training-programme, https://www.plymouth.ac.uk/, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","jamaica, kingston (30 april 2015) - - as part of its training proposal and in line with its contract for exploration for polymetallic nodules with the isa, the uk seabed resources ltd (uksrl) has contracted plymouth university to provide training opportunities for two trainees from developing states in 2015.
one trainee will receive on-land training in the analysis of polymetallic nodules using advanced imaging and analysis techniques while the second will receive training in deep sea marine biology. both phd training programmes are planned for october 1st 2015 for a duration of four years each. 
under the training programme, uksrl will bear the costs  through a grant to plymouth university which will be used to discharge all fees and expenses incurred by the trainees in connection with their participation in the relevant training programme.
additionally, uksrl will also provide a berth for each student on a research cruise to the clarion-clipperton zone.
the trainees will be selected by the legal and technical commission at its meetings in july 2015, in consultation with uk seabed resources ltd. and plymouth university.
the deadline for nominations is 20 june 2015. any nominations received after that date will not be considered. the nomination form (docx | pdf) should to be completed by a senior official of an institution or government authority and could be emailed by the candidate to training@isa.org.jm .
 
for more details visit the isa/uksrl training webpage and the plymouth university webpage.
 
###tweets by isbahq",2021-04-16
